legacy_row_id,created_at_raw,target_role_or_room,message,status
36,2026-05-16 19:00:09,الكل,"🚨 *طلب تقييم سيارة استبدال* 🚨

👤 العميل: يثيثيثي
🏷️ الكنية: -
📞 الهاتف: `0569990890`
👨‍💼 الموظف: المدير العام
🏢 المعرض: الكل
🚗 السيارة: مازدا 3
💰 السعر المقترح: 56888$
🔢 الشاصي: 9090
🎨 اللون: احمر
📅 سنة التصنيع: 2024
⏱️ العداد: 357
📋 المواصفات: فل
🛠️ الفحص: لا يوجد",Read
37,2026-05-16 19:00:55,الكل,"🚨 *طلب تقييم سيارة استبدال* 🚨

👤 العميل: محمد علي كلاي
🏷️ الكنية: ابو كلاي
📞 الهاتف: `0567890899`
👨‍💼 الموظف: المدير العام
🏢 المعرض: الكل
🚗 السيارة: مازدا 3
💰 السعر المقترح: 53443$
🔢 الشاصي: 4334
🎨 اللون: اخضر
📅 سنة التصنيع: 2025
⏱️ العداد: 3434
📋 المواصفات: فل
🛠️ الفحص: لا",Read
38,2026-05-16 19:07:37,الكل,"🚨 *طلب تقييم سيارة استبدال* 🚨

👤 العميل: يسشيسي
🏷️ الكنية: -
📞 الهاتف: `0599987780`
👨‍💼 الموظف: المدير العام
🏢 المعرض: الكل
🚗 السيارة: سشسسي
💰 السعر المقترح: 3343$
🔢 الشاصي: 3223
🎨 اللون: بني
📅 سنة التصنيع: 2016
⏱️ العداد: 332
📋 المواصفات: فل
🛠️ الفحص: فل",Read
39,2026-05-16 19:13:29,علاء داود زايد,"🚨 *تنبيه توفر سيارة مطلوبة!*
🚗 *السيارة:* سكودا
👤 *العميل:* حسن محمد
📞 *الهاتف:* `0568000000`
👨‍💼 *الموظف:* علاء داود زايد",Read
40,2026-05-16 19:13:30,علاء داود زايد,"🚨 *تنبيه توفر سيارة مطلوبة!*
🚗 *السيارة:* سكودا
👤 *العميل:* 
📞 *الهاتف:* `undefined`
👨‍💼 *الموظف:* علاء داود زايد",Read
41,2026-05-16 19:13:31,علاء داود زايد,"🚨 *تنبيه توفر سيارة مطلوبة!*
🚗 *السيارة:* سكودا
👤 *العميل:* حسن محمد محمد
📞 *الهاتف:* `0597033939`
👨‍💼 *الموظف:* علاء داود زايد",Read
42,2026-05-16 19:30:05,معرض المعلم,"🚨 *طلب تقييم سيارة استبدال* 🚨

👤 العميل: حسن محمد محمد
🏷️ الكنية: -
📞 الهاتف: `0597033939`
👨‍💼 الموظف: علاء داود زايد
🏢 المعرض: معرض المعلم
🚗 السيارة: باك لفل
💰 السعر المقترح: غير محدد$
🔢 الشاصي: غير محدد
🎨 اللون: -
📅 سنة التصنيع: -
⏱️ العداد: -
📋 المواصفات: -
🛠️ الفحص: -",Read
43,2026-05-16 19:32:31,,"🚨 *طلب تقييم سيارة استبدال* 🚨

👤 العميل: Vcc
🏷️ الكنية: -
📞 الهاتف: `0562229000`
👨‍💼 الموظف: المدير العام 
🏢 المعرض: 
🚗 السيارة: سكودا نياك
💰 السعر المقترح: 44343$
🔢 الشاصي: 3224
🎨 اللون: بني
📅 سنة التصنيع: 2010
⏱️ العداد: 332
📋 المواصفات: فل
🛠️ الفحص: فل",Read
44,2026-05-16 19:34:24,,"🚨 *طلب تقييم سيارة استبدال* 🚨

👤 العميل: يثيثيثي
🏷️ الكنية: -
📞 الهاتف: `0569990890`
👨‍💼 الموظف: المدير العام 
🏢 المعرض: 
🚗 السيارة: مازدا 3
💰 السعر المقترح: 56888$
🔢 الشاصي: 9090
🎨 اللون: احمر
📅 سنة التصنيع: 2024
⏱️ العداد: 357
📋 المواصفات: فل
🛠️ الفحص: لا يوجد",Read
45,2026-05-16 19:57:11,علاء داود زايد,"🔔 *توجيه إداري بخصوص العميل:*
👤 العميل: حسن محمد محمد

💬 *ملاحظة الإدارة:*
تواصل مع العميل",Read
46,2026-05-17 00:27:22,علاء داود زايد,"🏢 *قرار إداري: نقل*
تم نقلك رسمياً للعمل في: *معرض المعلم*",Read
47,2026-05-17 00:28:52,علاء داود زايد,"🚨 *توجيه إداري عاجل*

👤 *من:* المدير العام 
📌 *بخصوص العميل:* مريم زايد

💬 *الرسالة:*
j,hwg lu hg.f,k",Read
48,2026-05-17 15:33:36,علاء داود زايد,"🚨 *توجيه إداري عاجل*

👤 *من:* المدير العام
📌 *بخصوص العميل:* مريم زايد

💬 *الرسالة:*
jhgjgg",Read
49,2026-05-17 17:23:21,علاء داود زايد,"🚨 *توجيه إداري عاجل*

👤 *من:* المدير العام
📌 *بخصوص العميل:* مريم زايد

💬 *الرسالة:*
لانا",Read
50,2026-05-17 17:28:00,الكل,"🚨 *طلب تقييم سيارة استبدال* 🚨

👤 العميل: محمد حسن الجعبري
🏷️ الكنية: ابو محمد
📞 الهاتف: `0598780780`
👨‍💼 الموظف: المدير العام
🏢 المعرض: الكل
🚗 السيارة: بيجو
💰 السعر المقترح: غير محدد$
🔢 الشاصي: غير محدد
🎨 اللون: -
📅 سنة التصنيع: 2019
⏱️ العداد: -
📋 المواصفات: -
🛠️ الفحص: -",Read
51,2026-05-17 17:28:01,حسن مهنا,"🚨 *فرصة توفيق استبدال!*
السيارة المطلوبة لعميلك (علي محمدين) معروضة كاستبدال!
🚗 *السيارة:* بيجو
👤 *المالك الحالي:* محمد حسن الجعبري
📞 *الهاتف:* `0598780780`
🏢 *بمعرض:* الكل",Read
52,2026-05-17 17:28:02,المدير العام,"🚨 *فرصة توفيق استبدال!*
السيارة المطلوبة لعميلك (بسنت محمد) معروضة كاستبدال!
🚗 *السيارة:* بيجو
👤 *المالك الحالي:* محمد حسن الجعبري
📞 *الهاتف:* `0598780780`
🏢 *بمعرض:* الكل",Read
53,2026-05-17 17:28:02,علاء داود زايد,"🚨 *فرصة توفيق استبدال!*
السيارة المطلوبة لعميلك (محمد عرفة) معروضة كاستبدال!
🚗 *السيارة:* بيجو
👤 *المالك الحالي:* محمد حسن الجعبري
📞 *الهاتف:* `0598780780`
🏢 *بمعرض:* الكل",Read
54,2026-05-17 17:28:03,المدير العام,"🚨 *فرصة توفيق استبدال!*
السيارة المطلوبة لعميلك (محمد علي كلاي) معروضة كاستبدال!
🚗 *السيارة:* بيجو
👤 *المالك الحالي:* محمد حسن الجعبري
📞 *الهاتف:* `0598780780`
🏢 *بمعرض:* الكل",Read
55,2026-05-17 17:28:03,المدير العام,"🚨 *فرصة توفيق استبدال!*
السيارة المطلوبة لعميلك (يثيثيثي) معروضة كاستبدال!
🚗 *السيارة:* بيجو
👤 *المالك الحالي:* محمد حسن الجعبري
📞 *الهاتف:* `0598780780`
🏢 *بمعرض:* الكل",Read
56,2026-05-17 17:31:47,الكل,"🚨 *طلب تقييم سيارة استبدال* 🚨

👤 العميل: محمد حسن الجعبري
🏷️ الكنية: ابو محمد
📞 الهاتف: `0598780780`
👨‍💼 الموظف: المدير العام
🏢 المعرض: الكل
🚗 السيارة: بيجو
💰 السعر المقترح: غير محدد$
🔢 الشاصي: غير محدد
🎨 اللون: -
📅 سنة التصنيع: 2019
⏱️ العداد: -
📋 المواصفات: -
🛠️ الفحص: -",Read
57,2026-05-17 17:31:49,حسن مهنا,"🚨 *فرصة توفيق استبدال!*
السيارة المطلوبة لعميلك (علي محمدين) معروضة كاستبدال!
🚗 *السيارة:* بيجو
👤 *المالك الحالي:* محمد حسن الجعبري
📞 *الهاتف:* `0598780780`
🏢 *بمعرض:* الكل",Read
58,2026-05-17 17:31:49,المدير العام,"🚨 *فرصة توفيق استبدال!*
السيارة المطلوبة لعميلك (بسنت محمد) معروضة كاستبدال!
🚗 *السيارة:* بيجو
👤 *المالك الحالي:* محمد حسن الجعبري
📞 *الهاتف:* `0598780780`
🏢 *بمعرض:* الكل",Read
59,2026-05-17 17:31:50,علاء داود زايد,"🚨 *فرصة توفيق استبدال!*
السيارة المطلوبة لعميلك (محمد عرفة) معروضة كاستبدال!
🚗 *السيارة:* بيجو
👤 *المالك الحالي:* محمد حسن الجعبري
📞 *الهاتف:* `0598780780`
🏢 *بمعرض:* الكل",Read
60,2026-05-17 17:31:50,المدير العام,"🚨 *فرصة توفيق استبدال!*
السيارة المطلوبة لعميلك (محمد علي كلاي) معروضة كاستبدال!
🚗 *السيارة:* بيجو
👤 *المالك الحالي:* محمد حسن الجعبري
📞 *الهاتف:* `0598780780`
🏢 *بمعرض:* الكل",Read
61,2026-05-17 17:31:51,المدير العام,"🚨 *فرصة توفيق استبدال!*
السيارة المطلوبة لعميلك (يثيثيثي) معروضة كاستبدال!
🚗 *السيارة:* بيجو
👤 *المالك الحالي:* محمد حسن الجعبري
📞 *الهاتف:* `0598780780`
🏢 *بمعرض:* الكل",Read
62,2026-05-17 17:33:38,علاء داود زايد,"🚨 *تنبيه توفر سيارة مطلوبة!*
🚗 *السيارة:* سكودا
👤 *العميل:* حسن محمد
📞 *الهاتف:* `0568000000`
👨‍💼 *الموظف:* علاء داود زايد",Read
63,2026-05-17 17:33:39,علاء داود زايد,"🚨 *تنبيه توفر سيارة مطلوبة!*
🚗 *السيارة:* سكودا
👤 *العميل:* 
📞 *الهاتف:* `undefined`
👨‍💼 *الموظف:* علاء داود زايد",Read
64,2026-05-17 17:33:40,علاء داود زايد,"🚨 *تنبيه توفر سيارة مطلوبة!*
🚗 *السيارة:* سكودا
👤 *العميل:* حسن محمد محمد
📞 *الهاتف:* `0597033939`
👨‍💼 *الموظف:* علاء داود زايد",Read
65,2026-05-17 17:33:40,المدير العام,"🚨 *تنبيه توفر سيارة مطلوبة!*
🚗 *السيارة:* سكودا
👤 *العميل:* نورس
📞 *الهاتف:* `0599033939`
👨‍💼 *الموظف:* المدير العام",Read
66,2026-05-17 17:36:37,الكل,"🚨 *طلب تقييم سيارة استبدال* 🚨

👤 العميل: محمد حسن الجعبري
🏷️ الكنية: ابو محمد
📞 الهاتف: `0598780780`
👨‍💼 الموظف: المدير العام
🏢 المعرض: الكل
🚗 السيارة: بيجو
💰 السعر المقترح: غير محدد$
🔢 الشاصي: غير محدد
🎨 اللون: -
📅 سنة التصنيع: 2019
⏱️ العداد: -
📋 المواصفات: -
🛠️ الفحص: -",Read
67,2026-05-17 17:36:40,حسن مهنا,"🚨 *فرصة توفيق استبدال!*
السيارة المطلوبة لعميلك (علي محمدين) معروضة كاستبدال!
🚗 *السيارة:* بيجو
👤 *المالك الحالي:* محمد حسن الجعبري
📞 *الهاتف:* `0598780780`
🏢 *بمعرض:* الكل",Read
68,2026-05-17 17:36:40,المدير العام,"🚨 *فرصة توفيق استبدال!*
السيارة المطلوبة لعميلك (بسنت محمد) معروضة كاستبدال!
🚗 *السيارة:* بيجو
👤 *المالك الحالي:* محمد حسن الجعبري
📞 *الهاتف:* `0598780780`
🏢 *بمعرض:* الكل",Read
69,2026-05-17 17:36:41,علاء داود زايد,"🚨 *فرصة توفيق استبدال!*
السيارة المطلوبة لعميلك (محمد عرفة) معروضة كاستبدال!
🚗 *السيارة:* بيجو
👤 *المالك الحالي:* محمد حسن الجعبري
📞 *الهاتف:* `0598780780`
🏢 *بمعرض:* الكل",Read
70,2026-05-17 17:36:41,المدير العام,"🚨 *فرصة توفيق استبدال!*
السيارة المطلوبة لعميلك (محمد علي كلاي) معروضة كاستبدال!
🚗 *السيارة:* بيجو
👤 *المالك الحالي:* محمد حسن الجعبري
📞 *الهاتف:* `0598780780`
🏢 *بمعرض:* الكل",Read
71,2026-05-17 17:36:42,المدير العام,"🚨 *فرصة توفيق استبدال!*
السيارة المطلوبة لعميلك (يثيثيثي) معروضة كاستبدال!
🚗 *السيارة:* بيجو
👤 *المالك الحالي:* محمد حسن الجعبري
📞 *الهاتف:* `0598780780`
🏢 *بمعرض:* الكل",Read
72,2026-05-17 17:40:54,معرض المعلم,"🚨 *طلب تقييم سيارة استبدال* 🚨

👤 العميل: صثققثث
🏷️ الكنية: -
📞 الهاتف: `0598889888`
👨‍💼 الموظف: المدير العام
🏢 المعرض: معرض المعلم
🚗 السيارة: سكودا اوكتافيا
💰 السعر المقترح: غير محدد$
🔢 الشاصي: غير محدد
🎨 اللون: -
📅 سنة التصنيع: -
⏱️ العداد: -
📋 المواصفات: -
🛠️ الفحص: -",Read
73,2026-05-17 17:44:21,الكل,"🚨 *طلب تقييم سيارة استبدال* 🚨

👤 العميل: صثققثث
🏷️ الكنية: -
📞 الهاتف: `0598889888`
👨‍💼 الموظف: المدير العام
🏢 المعرض: الكل
🚗 السيارة: سكودا اوكتافيا
💰 السعر المقترح: غير محدد$
🔢 الشاصي: غير محدد
🎨 اللون: -
📅 سنة التصنيع: -
⏱️ العداد: -
📋 المواصفات: -
🛠️ الفحص: -",Read
74,2026-05-17 17:58:51,المدير العام,"🚨 *تنبيه توفر سيارة مطلوبة!*
🚗 *السيارة:* بيكانتو
👤 *العميل:* عيسى
📞 *الهاتف:* `0599903399`
👨‍💼 *الموظف:* المدير العام",Read
75,2026-05-18 00:59:03,علاء داود زايد,"🚨 *تنبيه توفر سيارة مطلوبة!*
🚗 *السيارة:* رينوا 4 
👤 *العميل:* القدس
📞 *الهاتف:* `0599993939`
👨‍💼 *الموظف:* علاء داود زايد",Read
76,2026-05-18 02:52:09,علاء داود زايد,"🚨 *تنبيه توفر سيارة مطلوبة!*
🚗 *السيارة:* دوج
👤 *العميل:* حسن محمد علي 
📞 *الهاتف:* `0599933939`
👨‍💼 *الموظف:* علاء داود زايد",Read
77,2026-05-18 16:21:55,المدير العام,"🚨 *تنبيه توفر سيارة مطلوبة!*
🚗 *السيارة:* سكودا  سوبير
👤 *العميل:* jkhgjg
📞 *الهاتف:* `0599939939`
👨‍💼 *الموظف:* المدير العام",Read
78,2026-05-18 16:30:18,معرض المعلم,"🚨 *طلب تقييم سيارة استبدال* 🚨

👤 العميل: االلل
🏷️ الكنية: -
📞 الهاتف: `0598988888`
👨‍💼 الموظف: المدير العام
🏢 المعرض: معرض المعلم
🚗 السيارة: سكودا اوكتافيا
💰 السعر المقترح: غير محدد$
🔢 الشاصي: غير محدد
🎨 اللون: -
📅 سنة التصنيع: -
⏱️ العداد: -
📋 المواصفات: -
🛠️ الفحص: -",Read
79,2026-05-18 17:02:45,المدير العام,"🚨 *تنبيه توفر سيارة مطلوبة!*
🚗 *السيارة:* مازدا
👤 *العميل:* خليل الوزير
📞 *الهاتف:* `0599933339`
👨‍💼 *الموظف:* المدير العام",Read
