legacy_row_id,created_at_raw,branch_name,employee_name,customer_name,phone,requested_car,payment_plan,attachments_raw,notes_raw,status,nickname,address,whatsapp_prefix,next_follow_up_raw,visit_count_raw,last_contact_raw,trade_in_raw
17,2026-05-12 23:43:33,معرض المعلم,علاء داود زايد,علي ابراهيم,0567890765,Mercedes-Benz C-Class (ID: INV-1002),استبدال سيارة القديمة 🔄,-,"التفاوض: لقد حصل رغبه
[تحديث 12/05 11:55 م]: الافاق
[تحديث 13/05 03:40 م بواسطة علاء داود زايد]: قال نوه سوف يراجع بتاريخ 15م7",تم البيع ✅ (ID: INV1002),-,-,970,,3,,
18,2026-05-12 23:53:23,معرض المعلم,علاء داود زايد,علاء محمد محمدين,0599870550,BMW X5 (ID: INV-1003),لم يحدد,-,التفاوض: نعم,حجز السيارة 🕒,ابو عيسى,الخليل,970,,1,,
19,2026-05-13 00:14:15,معرض المعلم,علاء داود زايد,علاء زايد,0567890767,Mazda CX-5 (ID: INV-1020),لم يحدد,-,"التفاوض: Ghh
[تحديث 13/05 12:15 ص]: تم الاتفاق على استبدال السيارة القديمة
[تحديث 13/05 12:30 ص]: تم الاتفاق",قيد المتابعة ⏳,-,-,970,,3,,
20,2026-05-13 01:08:29,معرض المعلم,علاء داود زايد,علاء زايد,0587909090,Mazda CX-5 (ID: INV-1020),كاش 💵,-,"التفاوض: تم الاتفاق
[تحديث 13/05 01:10 ص]: تم
[تحديث 13/05 02:55 م]: يجب تغير الموظف",حجز السيارة 🕒,ابو محمد,الخليا,970,,4,,
21,2026-05-13 15:58:18,معرض المعلم,حسن مهنا,يزيد القواسمه,0598989898,Mazda CX-5,-,"خطأ في الرفع 
خطأ في الرفع 
خطأ في الرفع 
خطأ في الرفع 
خطأ_في_الرفع 
خطأ_في_الرفع 
خطأ_في_الرفع 
خطأ_في_الرفع 
- 
-","[أضيف بواسطة حسن مهنا]: نعم تم عرض سعر 550 الف شيقل 

[تحديث 13/05 05:53 م بواسطة علاء داود زايد]: يريد معرفة المزيد من المعلومات
[تحديث 13/05 05:54 م بواسطة علاء داود زايد]: اراؤاؤلا تاببغب اتبغعب تاغعببغع
🔄 [تقييم استبدال]:  | السعر: $ | شاصي: 
🔄 [تقييم استبدال]: سكودا | السعر: $ | شاصي: 
🔄 [تقييم استبدال]: سكودا | السعر: $ | شاصي: 
🔄 [تقييم استبدال]: سكودا | السعر: $ | شاصي: 
🔄 [تقييم استبدال]: سكودا 2006 | السعر: $ | شاصي: 
🔄 [تقييم استبدال]: سكودا 2006 | السعر: $ | شاصي: 
🔄 [تقييم استبدال]: سكودا 2006 | السعر: $ | شاصي: 
🔄 [تقييم استبدال]: سكودا 2006 | السعر: $ | شاصي: 
🔄 [تقييم استبدال]: سكودا 2006 | السعر: $ | شاصي:",تم البيع,ابو صقر,الخليل,970,,14,,
22,2026-05-13 19:41:49,المدير,المدير العام,حسن عيس المسالمه,0598766789,-,-,-,"[إدخال بواسطة المدير]: تعن
🔄 [تقييم استبدال]: سكودا 2006 بسعر 0$ (شاصي: بدون)",قيد المتابعة ⏳,-,-,970,,1,,
23,2026-05-13 19:46:07,المدير,المدير العام,,undefined,-,استبدال,-,"[إدخال بواسطة المدير]: undefined
🔄 [تقييم استبدال]: سكودا 2006 بسعر 25000$ (شاصي: بدون)
🔄 [تقييم استبدال]: سكودا 2006 | السعر: $ | شاصي: 
[تحديث 13/05 10:38 م بواسطة المدير العام]: سيارة بحاجة لتقيم
🔄 [تقييم استبدال]: سكودا 2006 | السعر: 30000$ | شاصي: 9091
🔄 [تقييم استبدال]: سكودا 2006 | السعر: 30000$ | شاصي: 9091
✅ [تم نقل سيارة الاستبدال للمخزون آلياً]",تم البيع ✅ (ID: INV-1003),-,-,970,,5,,
24,2026-05-13 22:54:56,المدير,المدير العام,رجائي محمد,0599789339,Audi A4 (ID: INV-1019),-,-,"[إدخال بواسطة المدير]: الاتفاق على سعر 10 شيقل مقابل
🔄 [تقييم استبدال]: سكودا 2010 بسعر 250000$ (شاصي: بدون)",قيد المتابعة,ابو رضا,الخليل,970,,3,,
25,2026-05-14 15:40:27,معرض المعلم,علاء داود زايد,عيس مسلم,0598909090,Mazda CX-5 (ID: INV-1020),-,-,"[إدخال بواسطة علاء داود زايد]: القدس في خطر
🔄 [تقييم استبدال]: سكودا 2020 بسعر 0$ (شاصي: بدون)
[تحديث 14/05 04:55 م بواسطة المدير العام]: تم تواصل معه
🔄 [تقييم استبدال]: فيات | السعر: $ | شاصي:  | اللون:  | موديل:  | فحص: 
🔄 [تقييم استبدال]: فيات | السعر: $ | شاصي: 9091 | اللون: بني | موديل: 2005 | فحص:",تم البيع,ابو محمد,الخليل,970,,6,,
26,2026-05-14 17:29:46,الكل,المدير العام,محمد كامل العملة,0599087780,Nissan Qashqai,-,-,"[أضيف بواسطة المدير العام]:
قيم المتابعى",قيد المتابعة ⏳,ابو صقر,الخليل,970,,1,,
27,2026-05-14 17:36:19,معرض المعلم,علاء داود زايد,,undefined,(طلب غير متوفر: سكودا 2006 فتحة سقف),-,-,"[إدخال بواسطة علاء داود زايد]: في خالة توفر السيارة يتم تواصل نعه

[تحديث استبدال 19/05/2026 10:02 م بواسطة علاء داود زايد]: سيسي | شاصي:",قيد المتابعة ⏳,-,-,970,,2,2026-05-19 22:02:36,"{""edited"":true,""color"":"""",""gear"":""اتوماتيك"",""notes"":"""",""price"":"""",""inspection"":"""",""specs"":"""",""dealType"":""استبدال"",""model"":""سيسي"",""id"":"""",""fuel"":""بنزين"",""licenseExp"":"""",""owner"":"""",""active"":true,""year"":"""",""mileage"":"""",""status"":""تحت الدراسة والتقييم"",""condition"":""مستعملة""}"
28,2026-05-15 15:10:13,معرض المعلم,حسن مهنا,حسن موسى,0567870339,سكودا 2010,-,-,"[أضيف بواسطة حسن مهنا]:
العودة عند توفر السياره",تم البيع,-,-,970,-,3,,
29,2026-05-15 15:31:48,معرض المعلم,حسن مهنا,علي محمدين,0568870339,بيجو,-,-,"[أضيف بواسطة حسن مهنا]:
في توفر السيارة اتصل على زبون",قيد المتابعة ⏳,ابو معتز,الخليل,970,-,1,2026-05-15 15:31:48,
30,2026-05-15 15:33:37,معرض المعلم,حسن مهنا,بسيبيس,0598989899,سيارة غير متوفرة,-,-,"[أضيف بواسطة حسن مهنا]:
رررسي",قيد المتابعة ⏳,-,-,970,-,1,2026-05-15 15:33:37,
31,2026-05-15 16:19:43,معرض المعلم,حسن مهنا,يزيد حسن القواسمه,0598989888,(طلب خاص) بيجو - موديل 2010,كاش 💵,-,"[أضيف بواسطة حسن مهنا]:
اذا توفرة السيارة اتصل بنا

🔄 [تقييم استبدال]: سبورت | السعر: $ | شاصي:  | اللون:  | موديل: 2010 | فحص: 
✅ [تم نقل سيارة الاستبدال للمخزون آلياً]",تم البيع ✅ (ID: INV-1013),-,-,970,-,2,2026-05-15 16:25:34,
32,2026-05-15 16:21:47,معرض المعلم,حسن مهنا,محمد كامل,0599087788,Nissan Qashqai,استبدال,-,"[أضيف بواسطة حسن مهنا]:
يسيؤ

🔄 [تقييم استبدال]: بيجو | السعر: $ | شاصي:  | اللون:  | موديل: 2010 | فحص: 
✅ [تم نقل سيارة الاستبدال للمخزون آلياً]",تم البيع ✅ (ID: INV-1011),-,-,970,-,1,2026-05-15 16:21:47,
33,2026-05-15 16:44:09,المدير,المدير,,undefined,-,-,-,"[إدخال بواسطة المدير]: undefined
🔄 [تقييم استبدال]: سكودا | السعر: 0$ | شاصي: بدون | لون:  | موديل: 2010 | فحص:",جاري الإدخال ⏳,-,-,970,-,1,2026-05-15 16:44:09,
34,2026-05-15 19:53:37,معرض المعلم,حسن مهنا,عزمي الاقرع,0598770770,Nissan Qashqai (ID: INV-1004) + Jeep Wrangler (ID: INV-1006),-,-,"[إدخال بواسطة حسن مهنا]:
🚗 بخصوص [Nissan Qashqai (ID: INV-1004)]:
القدس في خطر

🚗 بخصوص [Jeep Wrangler (ID: INV-1006)]:
القدس في خطر مرتين
🔄 [تقييم استبدال]: بيكانتو  | السعر: $ | شاصي: 
[تحديث 15/05 08:04 م بواسطة حسن مهنا]: نريد تقيم السيارة
🔄 [تقييم استبدال]: بيكانتو  | السعر: $ | شاصي:",قيد المتابعة ⏳,ابو مجدي,الخليل,972,,3,2026-05-15 21:29:36,
35,2026-05-15 20:40:45,معرض المعلم,علاء داود زايد,محمد حسن الجعبري,0598780780,Volkswagen Golf,-,-,"[إدخال بواسطة علاء داود زايد]:
🚗 بخصوص [Volkswagen Golf (ID: INV-1015)]:
يجب ان تدار العملية بطريقة راقيه
[تحديث بيانات الاستبدال 17/05/2026 05:27 م بواسطة المدير العام]: بيجو | السعر: $ | شاصي: 
[تحديث بيانات الاستبدال 17/05/2026 05:31 م بواسطة المدير العام]: بيجو | السعر: $ | شاصي: 
[تحديث بيانات الاستبدال 17/05/2026 05:36 م بواسطة المدير العام]: بيجو | السعر: $ | شاصي: 
[تم نقل سيارة الاستبدال لملكية المعرض 17/05/2026 05:36 م]",قيد المتابعة ⏳,ابو محمد,الخليل,970,2026-05-28 00:00:00,6,2026-05-21 03:27:36,
36,2026-05-15 20:43:53,معرض المعلم,علاء داود زايد,محمد كامل حسن,0598790790,(طلب خاص) مرسيدس - موديل 2005,-,-,"[إدخال بواسطة علاء داود زايد]:
🚗 بخصوص [Nissan Qashqai (ID: INV-1004)]:
السيارة كبيرة
🔄 [تقييم استبدال]: مرسيدس | السعر: $ | شاصي:",قيد المتابعة ⏳,بيت لحم,الخليل,970,-,2,2026-05-15 23:02:21,
37,2026-05-15 21:33:31,الكل,المدير العام,بسنت محمد,0567890890,بيجو,-,-,"[إدخال بواسطة المدير العام]:
🚗 بخصوص [بيجو]:
تفاصيل اكثر
🔄 [تقييم استبدال]: سكودا اوكتافيا | السعر: $ | شاصي: 
🔄 [تقييم استبدال]: سكودا اوكتافيا | السعر: $ | شاصي: 
[تحديث 16/05 02:43 م بواسطة المدير العام]: اجل الموعد
[تحديث 16/05 03:10 م بواسطة المدير العام]: مراجعة لا حقة
[تحديث 16/05/2026 11:11 م بواسطة المدير العام ]: تم",قيد المتابعة ⏳,-,-,970,2026-05-18 00:00:00,7,2026-05-16 23:11:06,
38,2026-05-15 23:23:44,الكل,المدير العام,يزيد علي,0599876545,BMW X5,-,-,"[إدخال بواسطة المدير العام]:
🚗 بخصوص [BMW X5]:
لا يرييد
⛔ [سبب الرفض]: لم يعجبه العرض
🔄 [تقييم استبدال]: رينو | السعر: $ | شاصي: 
🔄 [تقييم استبدال]: رينو | السعر: $ | شاصي: 
🔄 [تقييم استبدال]: رينو | السعر: $ | شاصي:",الرفض من قبل العميل ❌,-,-,970,-,4,2026-05-15 23:34:23,
39,2026-05-15 23:27:39,الكل,المدير العام,كامل العملة,0567870333,Mazda CX-5,-,-,"[إدخال بواسطة المدير العام]:
🚗 بخصوص [Mazda CX-5]:
ثيييشسريس",قيد المتابعة ⏳,-,-,970,-,1,2026-05-15 23:27:39,
40,2026-05-15 23:36:11,الكل,المدير العام,القواسمه,0599087770,Nissan Qashqai + Nissan Qashqai,-,-,"[إدخال بواسطة المدير العام]:
🚗 بخصوص [Nissan Qashqai]:
ررءءءءءؤؤء
🔄 [تقييم استبدال]: سكودا  | السعر: $ | شاصي: 
🔄 [تقييم استبدال]: سكودا  | السعر: $ | شاصي:",قيد المتابعة ⏳,-,-,970,-,3,2026-05-15 23:38:56,
41,2026-05-16 00:00:26,معرض المعلم,علاء داود زايد,محمد عرفة,0599088880,(طلب خاص) بيجو,-,-,"[إدخال بواسطة علاء داود زايد]:
🚗 بخصوص [(طلب خاص) بيجو]:
يسسسيب",قيد المتابعة ⏳,-,-,970,-,1,2026-05-16 00:00:26,
42,2026-05-16 01:38:40,الكل,المدير العام,يزيد حسن,0599887780,Nissan Qashqai,-,-,"[إدخال بواسطة المدير العام]:
🚗 بخصوص [Nissan Qashqai]:
اكتب التفاصيل
🔄 [تعديل تقييم استبدال]: سكودا نياك | السعر: $ | شاصي:",قيد المتابعة ⏳,-,-,970,-,2,2026-05-16 02:26:05,
43,2026-05-16 01:52:34,الكل,المدير العام,سؤئؤءئئ,0569870339,Nissan Qashqai,-,-,"[إدخال بواسطة المدير العام]:
🚗 بخصوص [Nissan Qashqai]:
غغففقفق
[تعديل تقييم استبدال 16/05/2026 06:51 م بواسطة المدير العام]: بيجو | السعر: $ | شاصي: 
[تعديل تقييم استبدال 16/05/2026 06:54 م بواسطة المدير العام]: بيجو | السعر: $ | شاصي: 
[تعديل تقييم استبدال 16/05/2026 06:55 م بواسطة المدير العام]: سكودا | السعر: $ | شاصي:",حجز السيارة 🕒,-,-,970,-,5,2026-05-16 18:55:49,
44,2026-05-16 03:31:56,الكل,المدير العام,Vcc,0562229000,بيجو + (طلب خاص) مازدا,كاش 💵,-,"[إدخال بواسطة المدير العام]:
🚗 بخصوص [Nissan Qashqai]:
Gff

🚗 بخصوص [Jeep Wrangler]:
Gvc
🔄 [تقييم استبدال]: سكودا نياك | السعر: $ | شاصي: 
✅ [تم نقل سيارة الاستبدال للمخزون آلياً]
🔄 [تعديل تقييم استبدال]: سكودا نياك | السعر: $ | شاصي: 
[تحديث بيانات الاستبدال 16/05/2026 07:32 م بواسطة المدير العام ]: سكودا نياك | السعر: 44343$ | شاصي: 3224
[تم نقل سيارة الاستبدال لملكية المعرض 16/05/2026 07:32 م]
[تحديث 16/05/2026 07:32 م بواسطة المدير العام ]: 
[إكمال النواقص ١٦‏/٥‏/٢٠٢٦]: تم إكمال بيانات الاستبدال للسيارة سكودا نياك (شاصي: 3224) وتم تحديث المخزون.",تم البيع ✅ (ID: INV-1020),-,-,970,-,2,2026-05-16 19:32:29,
45,2026-05-16 15:25:27,معرض المعلم,علاء داود زايد,يسشيسي,0599987780,سكودا نياك,كاش 💵,-,"[إدخال بواسطة علاء داود زايد]:
🚗 بخصوص [سكودا نياك]:
تنلاتت
[تحديث 16/05 03:31 م بواسطة علاء داود زايد]: بابا
🔄 [تعديل تقييم استبدال]: سشسسي | السعر: $ | شاصي: 
✅ [تم نقل سيارة الاستبدال للمخزون آلياً]
[تعديل تقييم استبدال 16/05/2026 07:07 م بواسطة المدير العام]: سشسسي | السعر: 3343$ | شاصي: 3223
[تحديث 16/05/2026 07:07 م بواسطة المدير العام]: 
[إكمال النواقص ١٦‏/٥‏/٢٠٢٦]: تم إكمال بيانات الاستبدال للسيارة سشسسي (شاصي: 3223) وتم تحديث المخزون.",تم البيع ✅ (ID: INV-1009),-,-,970,2026-05-16 00:00:00,6,2026-05-16 19:07:36,
46,2026-05-16 17:56:08,معرض المعلم,حسن مهنا,سسسشيشس,0597989899,Nissan Qashqai,-,-,"[إدخال بواسطة حسن مهنا]:
🚗 بخصوص [Nissan Qashqai]:
ليبيب",قيد المتابعة ⏳,-,-,970,2026-05-18 00:00:00,2,2026-05-16 17:56:59,
47,2026-05-16 18:50:35,معرض الفورثنك,المدير العام,محمد علي كلاي,0567890899,(طلب خاص) بيجو,-,-,"[إدخال 16/05/2026 06:50 م بواسطة المدير العام]:
🚗 بخصوص [(طلب خاص) بيجو]:
اذا توفرت السيارة يتم التواصل مع الزبون
[تعديل تقييم استبدال 16/05/2026 06:57 م بواسطة المدير العام]: مازدا 3 | السعر: $ | شاصي: 
[تعديل تقييم استبدال 16/05/2026 07:00 م بواسطة المدير العام]: مازدا 3 | السعر: 53443$ | شاصي: 4334
[تحديث 16/05/2026 07:00 م بواسطة المدير العام]: 
🔄 [إكمال النواقص]: تم إكمال بيانات الاستبدال للسيارة مازدا 3 (شاصي: 4334) وتم تحديث المخزون.

[تحديث بيانات الاستبدال 18/05/2026 08:22 م بواسطة داود محمد عطية]: سكودا | السعر: $ | شاصي:",قيد المتابعة ⏳,ابو كلاي,-,970,2026-05-25 00:00:00,4,2026-05-18 20:22:45,"{""mileage"":"""",""year"":"""",""dealType"":""استبدال"",""color"":"""",""notes"":"""",""gear"":""اتوماتيك"",""specs"":"""",""active"":true,""edited"":true,""condition"":""مستعملة"",""price"":"""",""model"":""سكودا"",""id"":"""",""inspection"":"""",""fuel"":""بنزين"",""licenseExp"":"""",""status"":""تحت الدراسة والتقييم"",""owner"":""""}"
48,2026-05-16 18:58:59,معرض المعلم,المدير العام,يثيثيثي,0569990890,(طلب خاص) بيجو,-,-,"[إدخال 16/05/2026 06:58 م بواسطة المدير العام]:
🚗 بخصوص [(طلب خاص) بيجو]:
ببلا
[تقييم استبدال 16/05/2026 06:58 م بواسطة المدير العام]: مازدا 3 | السعر: $ | شاصي: 
[تعديل تقييم استبدال 16/05/2026 07:00 م بواسطة المدير العام]: مازدا 3 | السعر: 56888$ | شاصي: 9090
[تحديث 16/05/2026 07:00 م بواسطة المدير العام]: 
🔄 [إكمال النواقص]: تم إكمال بيانات الاستبدال للسيارة مازدا 3 (شاصي: 9090) وتم تحديث المخزون.
[تحديث بيانات الاستبدال 16/05/2026 07:34 م بواسطة المدير العام ]: مازدا 3 | السعر: 56888$ | شاصي: 9090",قيد المتابعة ⏳,-,-,970,-,2,2026-05-16 19:34:23,
49,2026-05-16 19:13:27,معرض المعلم,علاء داود زايد,حسن محمد محمد,0597033939,سكودا,-,-,"[إدخال 16/05/2026 07:13 م بواسطة علاء داود زايد]:
عميل يعرض سيارته للبيع.
السيارة: سكودا
السعر المطلوب: 35000$
[تحديث بيانات الاستبدال 16/05/2026 07:30 م بواسطة علاء داود زايد]: باك لفل | السعر: $ | شاصي: 

[تحديث استبدال 19/05/2026 11:44 م بواسطة علاء داود زايد]: ثثصصث | شاصي:",قيد المتابعة ⏳,-,-,970,-,4,2026-05-19 23:50:07,"{""status"":""تحت الدراسة والتقييم"",""color"":"""",""price"":"""",""fuel"":""بنزين"",""notes"":"""",""mileage"":"""",""edited"":true,""active"":true,""gear"":""اتوماتيك"",""owner"":"""",""condition"":""مستعملة"",""dealType"":""استبدال"",""id"":"""",""specs"":"""",""licenseExp"":"""",""year"":"""",""model"":""ثثصصث"",""inspection"":""""}"
50,2026-05-16 21:28:10,معرض المعلم,علاء داود زايد,مريم زايد,0595870339,Audi A4,-,-,"[إدخال 16/05/2026 09:28 م بواسطة علاء داود زايد]:
🚗 بخصوص [Audi A4]:
القدس في خطرين
[تحديث 18/05/2026 02:58 ص بواسطة علاء داود زايد]: قثققث",قيد المتابعة ⏳,-,-,970,-,2,2026-05-18 02:58:58,
51,2026-05-17 17:33:37,الكل,المدير العام,نورس,0599033939,سكودا,-,-,"[إدخال 17/05/2026 05:33 م بواسطة المدير العام]:
عميل يعرض سيارته للبيع.
السيارة: سكودا
السعر المطلوب: 445544$",قيد المتابعة ⏳,-,-,970,2026-05-17 00:00:00,2,2026-05-17 17:35:35,
52,2026-05-17 17:40:55,معرض المعلم,المدير العام,صثققثث,0598889888,Peugeot 3008,-,-,"[إدخال 17/05/2026 05:40 م بواسطة المدير العام]:
🚗 بخصوص [Peugeot 3008]:
هاالل
[تقييم استبدال 17/05/2026 05:40 م بواسطة المدير العام]: سكودا اوكتافيا | السعر: $ | شاصي: 
[تم تسجيل سيارة الاستبدال برسم البيع باسم العميل 17/05/2026 05:40 م]: بنجاح
[تحديث بيانات الاستبدال 17/05/2026 05:44 م بواسطة المدير العام]: سكودا اوكتافيا | السعر: $ | شاصي: 
[تم نقل سيارة الاستبدال لملكية المعرض 17/05/2026 05:44 م]",قيد المتابعة ⏳,-,-,970,2026-05-17 00:00:00,2,2026-05-17 17:44:20,
53,2026-05-17 17:58:51,الكل,المدير العام,عيسى,0599903399,بيكانتو,-,-,"[إدخال 17/05/2026 05:58 م بواسطة المدير العام]:
عميل يعرض سيارته للبيع.
السيارة: بيكانتو
السعر المطلوب: 4566$

[تحديث بيانات الاستبدال 18/05/2026 07:02 م بواسطة المدير العام]: سكودا | السعر: $ | شاصي:",قيد المتابعة ⏳,-,-,970,-,2,2026-05-18 19:02:51,"{""licenseExp"":""2026-05-25"",""mileage"":"""",""id"":"""",""notes"":"""",""active"":true,""price"":"""",""inspection"":"""",""year"":"""",""dealType"":""استبدال"",""fuel"":""بنزين"",""status"":""تم الاتفاق والاستبدال"",""color"":"""",""edited"":true,""specs"":"""",""gear"":""اتوماتيك"",""owner"":"""",""model"":""سكودا"",""condition"":""مستعملة""}"
54,2026-05-18 00:59:02,معرض المعلم,علاء داود زايد,القدس,0599993939,رينوا 4,-,-,"[إدخال 18/05/2026 12:59 ص بواسطة علاء داود زايد]:
عميل يعرض سيارته للبيع.
السيارة: رينوا 4 
السعر المطلوب: 456000$

[تحديث استبدال 19/05/2026 09:11 م بواسطة علاء داود زايد]: سكودا | شاصي:",قيد المتابعة ⏳,-,-,970,-,2,2026-05-19 21:11:04,"{""edited"":true,""fuel"":""بنزين"",""status"":""تم التقييم"",""color"":"""",""gear"":""اتوماتيك"",""specs"":"""",""id"":"""",""owner"":"""",""licenseExp"":""2026-05-26"",""price"":"""",""active"":true,""inspection"":"""",""mileage"":"""",""dealType"":""استبدال"",""notes"":"""",""year"":"""",""model"":""سكودا"",""condition"":""مستعملة""}"
55,2026-05-18 02:52:06,معرض المعلم,علاء داود زايد,حسن محمد علي,0599933939,دوج,-,-,"[إدخال سيارة للبيع 18/05/2026 02:52 ص بواسطة علاء داود زايد]:
السيارة: دوج
القير: اتوماتيك | الوقود: كهربائية بالكامل
انتهاء الرخصة: -
ملاحظات: -
السعر المطلوب: 45000$

🗂️ المستندات المرفقة بنجاح:
🔹 صور السيارة العامة:
🔹 شهادة الفحص الفني:
🔹 مستند الرخصة / السير:
🔹 وثيقة وبوليصة التأمين:

[تحديث استبدال 19/05/2026 05:18 م بواسطة علاء داود زايد]: سكودا | شاصي:",قيد المتابعة ⏳,ابو محمود,الخليل,970,-,6,2026-05-19 21:20:20,"{""specs"":"""",""notes"":"""",""status"":""تحت الدراسة والتقييم"",""year"":"""",""edited"":true,""price"":"""",""inspection"":"""",""fuel"":""بنزين"",""condition"":""مستعملة"",""color"":"""",""mileage"":"""",""owner"":"""",""model"":""سكودا"",""active"":true,""licenseExp"":""2026-05-26"",""id"":"""",""gear"":""اتوماتيك"",""dealType"":""استبدال""}"
56,2026-05-18 16:21:44,معرض المعلم,المدير العام,jkhgjg,0599939939,سكودا  سوبير,-,-,"[إدخال سيارة للبيع 18/05/2026 04:21 م بواسطة المدير العام]:
السيارة: سكودا  سوبير
القير: اتوماتيك | الوقود: بنزين
انتهاء الرخصة: -
ملاحظات: -
السعر المطلوب: 678980$

🗂️ المستندات المرفقة بنجاح:
🔹 صور السيارة العامة:
🔹 شهادة الفحص الفني:
🔹 مستند الرخصة / السير:
🔹 وثيقة وبوليصة التأمين:",قيد المتابعة ⏳,-,-,970,-,1,2026-05-18 16:21:44,
57,2026-05-18 16:30:20,معرض المعلم,المدير العام,االلل,0598988888,دوج,-,-,"[إدخال 18/05/2026 04:30 م بواسطة المدير العام]:
🚗 بخصوص [دوج]:
تنتلببا
[تقييم استبدال 18/05/2026 04:30 م بواسطة المدير العام]: سكودا اوكتافيا | السعر: $ | شاصي: 
[تم نقل سيارة الاستبدال لملكية المعرض 18/05/2026 04:30 م]: بنجاح",قيد المتابعة ⏳,-,-,970,-,1,2026-05-18 16:30:20,"{""owner"":""معرض المعلم"",""inspection"":"""",""mileage"":"""",""active"":true,""specs"":"""",""color"":"""",""status"":""تم الاتفاق والاستبدال"",""id"":"""",""condition"":""مستعملة"",""dealType"":""استبدال"",""price"":"""",""year"":"""",""model"":""سكودا اوكتافيا""}"
58,2026-05-18 17:02:43,معرض المعلم,المدير العام,خليل الوزير,0599933339,مازدا,-,-,"[إدخال سيارة للبيع 18/05/2026 05:02 م بواسطة المدير العام]:
السيارة: مازدا
القير: اتوماتيك | الوقود: بنزين
انتهاء الرخصة: -
ملاحظات: -
السعر المطلوب: 560098$",قيد المتابعة ⏳,-,-,970,-,1,2026-05-18 17:02:43,
